kind,url,name,source_price,live_prices
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=174,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),13990,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=175,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок) Ровио,12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=176,Абонемент УЛЬТРА 9 месяцев (6 месяцев в подарок),15990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=177,Абонемент УЛЬТРА 9 месяцев СПЕЦПРЕДЛОЖЕНИЕ,9900,[9.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=178,Абонемент УЛЬТРА 9 месяцев+3 месяца в подарок (Ровио),12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=181,"Студенческий абонемент 4 месяца 6 900,00",6900,[6.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=182,Студенческий дневной абонемент 9 месяцев,8900,[8.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=184,СУБАРЕНДА 10 посещений,13000,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=185,СУБАРЕНДА 12 посещений,20000,[20.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=186,СУБАРЕНДА 15 посещений,20000,[22.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=187,СУБАРЕНДА 20 посещений,22500,[22.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=188,СУБАРЕНДА 8 посещений,15000,[15.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=189,СУБАРЕНДА безлимит,28000,[28.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=190,СУБАРЕНДА безлимит неделя Савостьянова Ксения,3000,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=191,СУБАРЕНДА безлимит Савостьянова Ксения,10000,[10.0]
