source,length_bucket,product_name,clients
sql,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,2
sql,05_4_5_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
sql,05_4_5_months,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,1
sql,05_4_5_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),1
sql,05_4_5_months,АБОНЕМЕНТ САЙКЛ 12 пос без клубной карты,1
sql,05_4_5_months,Абонемент УЛЬТРА 12+2 месяца в подарок,1
sql,05_4_5_months,Студенческий дневной абонемент 9 месяцев (посещение клуба до 17:00),1
sql,05_4_5_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),1
sql,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,1
sql,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),7
sql,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев,6
sql,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,6
sql,06_6_months,Абонемент УЛЬТРА 6 месяцев СПЕЦПРЕДЛОЖЕНИЕ,5
sql,06_6_months,Мультикарта на 6 месяцев,4
sql,06_6_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),2
sql,06_6_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),1
sql,06_6_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,1
sql,06_6_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,1
sql,06_6_months,Абонемент УЛЬТРА 12 месяцев,1
sql,06_6_months,"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3",1
sql,06_6_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок (Ровио),1
sql,07_9_months,Студенческий дневной абонемент 9 месяцев (посещение клуба до 17:00),43
sql,07_9_months,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок),19
sql,07_9_months,Мультикарта на 9 месяцев,11
sql,07_9_months,Абонемент МУЛЬТИКАРТА 12 месяцев,8
sql,07_9_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),7
sql,07_9_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),6
sql,07_9_months,Абонемент УЛЬТРА 9 месяцев (3 месяца заморозки в подарок) Ровио,6
sql,07_9_months,Мультикарта на 9 месяцев + 3 месяца заморозки в подарок,3
sql,07_9_months,Абонемент УЛЬТРА 9 месяцев,2
sql,07_9_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),2
sql,07_9_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,2
sql,07_9_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),2
sql,07_9_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,2
sql,07_9_months,Абонемент УЛЬТРА 12 месяцев,1
sql,07_9_months,УЛЬТРА 12 месяцев + подарок,1
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,927
sql,08_12_months,Абонемент УЛЬТРА 12 месяцев,657
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев,576
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),510
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,433
sql,08_12_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),355
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,305
sql,08_12_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),149
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,131
sql,08_12_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,127
sql,08_12_months,УЛЬТРА 9 месяцев + 3 месяца в подарок,113
sql,08_12_months,УЛЬТРА 12 месяцев + подарок,110
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),101
sql,08_12_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),94
sql,08_12_months,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,90
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев,900
sql,09_13_15_months,Абонемент УЛЬТРА 12 месяцев,460
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),447
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,165
sql,09_13_15_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),111
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),107
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,102
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,81
sql,09_13_15_months,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),80
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),75
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),59
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,56
sql,09_13_15_months,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок,53
sql,09_13_15_months,Абонемент МУЛЬТИКАРТА 12 месяцев (3 месяца заморозки в подарок),28
sql,09_13_15_months,Абонемент УЛЬТРА 15 месяцев,24
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),186
sql,10_16_18_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),132
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,78
sql,10_16_18_months,Абонемент УЛЬТРА 12 месяцев,49
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев,42
sql,10_16_18_months,Абонемент УЛЬТРА 12 + 2 лета в подарок,13
sql,10_16_18_months,Абонемент УЛЬТРА 15 месяцев + 3 месяца заморозки в подарок,13
sql,10_16_18_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),12
sql,10_16_18_months,"Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок) Ровио,3",9
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),7
sql,10_16_18_months,Абонемент УЛЬТРА 12+6 месяцев,5
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,4
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев+2 лета в подарок,3
sql,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,2
sql,10_16_18_months,Абонемент УЛЬТРА 12 месяцев + 3 месяца заморозки в подарок,1
sql,11_19_24_months,Абонемент МУЛЬТИ 24 месяцев,344
sql,11_19_24_months,Абонемент УЛЬТРА 24 месяца,59
sql,11_19_24_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,26
sql,11_19_24_months,Абонемент УЛЬТРА 12+6 месяцев,15
sql,11_19_24_months,"Холодные 13 900,00 МУЛЬТИ 24 месяца",7
sql,11_19_24_months,Абонемент УЛЬТРА 12 месяцев,6
sql,11_19_24_months,Абонемент МУЛЬТИКАРТА 12 месяцев,2
sql,11_19_24_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),2
